Stock Name,Date,Open,High,Low,Close,Volume,Chg%
Mahindra & Mahindra Ltd.,2023-03-24 00:00:00,1160.55,1170.55,1147.1,1150.8,1840000.0,-1.21
Reliance Industries Ltd.,2021-08-06 00:00:00,2129.95,2146.95,2078.75,2089.05,7670000.0,-2.12
Bajaj Finserv Ltd.,2022-02-22 00:00:00,1530.0,1627.0,1527.5,1618.94,3220000.0,1.11
JSW Steel Ltd.,2022-02-25 00:00:00,576.15,605.95,576.15,598.6,4520000.0,5.14
Adani Ports and Special Economic Zone Ltd.,2021-12-02 00:00:00,710.0,742.3,702.3,739.1,8480000.0,4.4
Bajaj Auto Ltd.,2022-11-04 00:00:00,3779.45,3809.9,3762.9,3771.1,230930.0,-0.06
Cipla Ltd.,2021-03-10 00:00:00,806.0,814.75,801.0,812.4,2510000.0,1.93
Tata Consumer Products Ltd.,2023-05-22 00:00:00,765.45,768.0,760.2,766.1,548100.0,0.08
Kotak Mahindra Bank Ltd.,2020-07-22 00:00:00,1365.0,1366.35,1330.95,1342.35,4170000.0,-1.23
Infosys Ltd.,2023-08-08 00:00:00,1392.85,1393.55,1384.4,1390.2,4160000.0,-0.2
Maruti Suzuki India Ltd.,2022-11-07 00:00:00,9277.0,9352.8,9254.3,9333.3,469020.0,1.12
Kotak Mahindra Bank Ltd.,2020-06-12 00:00:00,1240.0,1289.7,1231.6,1279.8,8990000.0,-1.46
Adani Ports and Special Economic Zone Ltd.,2020-07-22 00:00:00,316.2,318.65,309.1,312.0,3070000.0,-0.86
Nestle India Ltd.,2023-08-08 00:00:00,22470.0,22498.95,22100.0,22229.25,58030.0,-1.02
Grasim Industries Ltd.,2020-03-27 00:00:00,472.05,493.8,446.85,460.9,2020000.0,-2.23
Asian Paints Ltd.,2023-08-21 00:00:00,3159.9,3187.5,3152.15,3182.3,353330.0,0.59
NTPC Ltd.,2021-01-04 00:00:00,99.75,100.0,98.5,99.05,22330000.0,0.0
HDFC Bank Ltd.,2023-06-14 00:00:00,1610.45,1612.0,1600.2,1601.75,10060000.0,-0.11
Grasim Industries Ltd.,2020-12-11 00:00:00,904.66,910.38,895.81,897.05,1940000.0,-0.8
HDFC Life Insurance Company Ltd.,2023-03-15 00:00:00,473.05,478.45,465.1,466.7,6100000.0,-0.82
UltraTech Cement Ltd.,2023-07-13 00:00:00,8268.0,8350.0,8206.5,8234.0,272840.0,0.16
Divi's Laboratories Ltd.,2022-10-13 00:00:00,3520.0,3543.9,3500.5,3523.85,299020.0,-0.11
HDFC Life Insurance Company Ltd.,2020-05-18 00:00:00,487.3,490.9,464.0,469.35,4110000.0,-3.68
Eicher Motors Ltd.,2023-05-18 00:00:00,3636.0,3649.95,3570.45,3576.15,1240000.0,-1.45
Bajaj Finance Ltd.,2020-10-16 00:00:00,3236.35,3269.45,3170.1,3231.35,5080000.0,0.52
HDFC Bank Ltd.,2021-12-20 00:00:00,1452.0,1458.0,1414.1,1425.65,10580000.0,-3.22
Tata Steel Ltd.,2019-12-30 00:00:00,47.01,47.63,46.51,47.48,114620000.0,1.13
Nestle India Ltd.,2022-12-29 00:00:00,19840.0,19917.55,19630.55,19808.0,39850.0,-0.18
Apollo Hospitals Enterprises Ltd.,2021-02-16 00:00:00,3089.0,3253.55,3047.0,3202.75,4380000.0,3.63
Power Grid Corporation of India Ltd.,2020-04-20 00:00:00,93.79,93.79,89.88,91.74,24180000.0,-1.34
Eicher Motors Ltd.,2021-07-27 00:00:00,2566.1,2598.0,2542.65,2571.35,492850.0,0.32
Adani Enterprises Ltd.,2023-01-12 00:00:00,3642.5,3679.0,3612.0,3647.2,1200000.0,0.31
UltraTech Cement Ltd.,2020-10-13 00:00:00,4448.0,4525.0,4339.45,4382.75,2370000.0,1.78
Bharat Petroleum Corp. Ltd.,2023-02-23 00:00:00,322.0,323.65,318.0,320.55,2750000.0,0.03
Apollo Hospitals Enterprises Ltd.,2023-01-20 00:00:00,4302.0,4322.45,4264.2,4285.25,242710.0,-0.76
Bajaj Finance Ltd.,2022-05-12 00:00:00,5750.0,5764.75,5505.9,5593.4,2490000.0,-3.68
Infosys Ltd.,2020-10-21 00:00:00,1141.15,1154.35,1135.0,1148.35,19810000.0,0.95
Hindalco Industries Ltd.,2022-08-04 00:00:00,427.0,433.0,418.4,421.7,20680000.0,1.8
Coal India Ltd.,2020-11-02 00:00:00,114.6,116.3,113.55,115.7,12790000.0,1.31
Wipro Ltd.,2022-04-06 00:00:00,598.0,598.0,591.0,593.55,4120000.0,-0.93
LTIMindtree Ltd.,2023-05-26 00:00:00,4925.0,5019.0,4925.0,5001.1,443910.0,1.84
Hindalco Industries Ltd.,2022-02-04 00:00:00,513.0,528.5,512.05,525.15,12630000.0,2.44
Tech Mahindra Ltd.,2021-04-09 00:00:00,974.16,1000.52,962.42,996.93,6030000.0,2.33
Eicher Motors Ltd.,2021-07-26 00:00:00,2544.8,2585.0,2540.0,2563.2,309300.0,0.53
LTIMindtree Ltd.,2020-12-28 00:00:00,3632.16,3665.98,3573.38,3632.9,165150.0,0.42
Axis Bank Ltd.,2019-12-05 00:00:00,743.0,745.0,725.3,729.25,8150000.0,-1.43
Adani Enterprises Ltd.,2022-08-29 00:00:00,3055.0,3166.45,3037.85,3142.6,1920000.0,0.1
HDFC Life Insurance Company Ltd.,2022-05-25 00:00:00,557.7,571.55,556.6,569.1,5340000.0,2.93
HDFC Life Insurance Company Ltd.,2019-11-15 00:00:00,588.35,588.35,576.1,577.5,1960000.0,-1.51
Wipro Ltd.,2021-08-03 00:00:00,604.0,604.0,594.15,599.4,5170000.0,1.21
Sun Pharmaceutical Industries Ltd.,2022-04-29 00:00:00,924.0,967.05,919.55,928.65,4290000.0,0.83
Britannia Industries Ltd.,2020-01-09 00:00:00,3047.2,3049.0,2995.1,3001.1,434270.0,-0.74
