Stock Name,Date,Open,High,Low,Close,Volume,Chg%
Adani Enterprises Ltd.,2023-10-16 00:00:00,2454.55,2464.7,2421.85,2429.35,803860,-1.03
Adani Enterprises Ltd.,2023-10-13 00:00:00,2488.9,2495,2422.35,2454.55,2280000,-2.07
Adani Enterprises Ltd.,2023-10-12 00:00:00,2499.9,2521.75,2490.65,2506.35,1800000,0.71
Adani Enterprises Ltd.,2023-10-11 00:00:00,2533.9,2538,2482.5,2488.6,1630000,-0.39
Adani Enterprises Ltd.,2023-10-10 00:00:00,2443,2517.95,2443,2498.3,1770000,2.28
Adani Enterprises Ltd.,2023-10-09 00:00:00,2440,2459.7,2411.3,2442.6,1410000,-1.43
Adani Enterprises Ltd.,2023-10-06 00:00:00,2466.35,2514.95,2466.05,2478.1,1510000,0.48
Adani Enterprises Ltd.,2023-10-05 00:00:00,2477.95,2486.5,2446.4,2466.35,1130000,0.06
Adani Enterprises Ltd.,2023-10-04 00:00:00,2402.2,2502.75,2392.25,2464.95,2860000,3.25
Adani Enterprises Ltd.,2023-10-03 00:00:00,2418,2424.9,2372,2387.25,2020000,-1.1
Adani Enterprises Ltd.,2023-09-29 00:00:00,2462.05,2479.55,2405.05,2413.9,1690000,-2.48
Adani Enterprises Ltd.,2023-09-28 00:00:00,2489.95,2511,2446.7,2475.25,2230000,-0.32
Adani Enterprises Ltd.,2023-09-27 00:00:00,2460,2498,2445.1,2483.3,1080000,1.03
Adani Enterprises Ltd.,2023-09-26 00:00:00,2491,2499,2452.6,2457.95,698860,-0.97
Adani Enterprises Ltd.,2023-09-25 00:00:00,2479.95,2489,2424,2482.1,1220000,0.7
Adani Enterprises Ltd.,2023-09-22 00:00:00,2489.95,2498,2460,2464.9,865590,-0.58
Adani Enterprises Ltd.,2023-09-21 00:00:00,2479.8,2503.8,2461,2479.25,1280000,0.36
Adani Enterprises Ltd.,2023-09-20 00:00:00,2502.4,2533.65,2458.9,2470.3,1200000,-1.28
Adani Enterprises Ltd.,2023-09-18 00:00:00,2552,2555,2491,2502.45,861680,-1.48
Adani Enterprises Ltd.,2023-09-15 00:00:00,2519.8,2558,2514.2,2540.05,1550000,0.8
